iter	Logloss
0	0.6877925381
1	0.6829547547
2	0.6787382433
3	0.6741466854
4	0.6695041186
5	0.6641570727
6	0.6572027219
7	0.6519556808
8	0.6478289782
9	0.6438529227
10	0.6397077416
11	0.6354834848
12	0.6309004428
13	0.6273851704
14	0.6236237682
15	0.6195426839
16	0.6153628097
17	0.6106273425
18	0.6070423921
19	0.6034790536
20	0.6002861425
21	0.5969762605
22	0.5930874054
23	0.5898468242
24	0.5866919455
25	0.584137376
26	0.5808632476
27	0.5774023712
28	0.5740268887
29	0.5716236776
30	0.5688310653
31	0.5656829219
32	0.5627932202
33	0.5601093678
34	0.5576550513
35	0.5549653284
36	0.5522132156
37	0.549414233
38	0.5464720268
39	0.543975339
40	0.5410596114
41	0.5389931841
42	0.5358412885
43	0.5333184259
44	0.5304912715
45	0.5283274809
46	0.5264085184
47	0.523863681
48	0.52078842
49	0.5179463781
50	0.5157693996
51	0.5137990154
52	0.5117050396
53	0.5093085099
54	0.5072723274
55	0.50550067
56	0.5033830326
57	0.5014651049
58	0.4994507121
59	0.4972378052
60	0.4948930611
61	0.4927745357
62	0.4908980692
63	0.4889244376
64	0.4870570949
65	0.4858171723
66	0.4839539911
67	0.4821912245
68	0.4805158894
69	0.4789774679
70	0.4773736136
71	0.4762899197
72	0.4746806228
73	0.4726714326
74	0.4709853736
75	0.4691000759
76	0.4676473089
77	0.4658988633
78	0.4644759258
79	0.4626266779
80	0.4614308331
81	0.4602283495
82	0.4584673489
83	0.4572315038
84	0.4557912337
85	0.4543658317
86	0.4531845058
87	0.4518691507
88	0.4507356452
89	0.4495351263
90	0.4479561962
91	0.4468498711
92	0.4451797805
93	0.4436508577
94	0.4425720073
95	0.4414079408
96	0.4398665641
97	0.4386573502
98	0.4375227573
99	0.4365854415
100	0.4358448512
101	0.4344561167
102	0.4335519259
103	0.4321473406
104	0.4307622895
105	0.429659708
106	0.4286116287
107	0.4279490529
108	0.4269206835
109	0.4255883946
110	0.4247391278
111	0.4235310541
112	0.4225462687
113	0.4212987157
114	0.4198468411
115	0.4187988712
116	0.4179340487
117	0.417049395
118	0.4163171165
119	0.4155176254
120	0.4146102674
121	0.4137141998
122	0.4128260648
123	0.4122941677
124	0.4107936198
125	0.4098158696
126	0.4085943878
127	0.4072653682
128	0.4060437913
129	0.4052025169
130	0.4044725958
131	0.4034733008
132	0.4027317897
133	0.4020275183
134	0.4012041791
135	0.4004072644
136	0.399328228
137	0.3983264618
138	0.3976208717
139	0.3968193392
140	0.3959406619
141	0.3952233124
142	0.3944539121
143	0.393226661
144	0.392404602
145	0.3914478155
146	0.3906241612
147	0.3900806417
148	0.3896068922
149	0.3888391567
150	0.3878564236
151	0.3871228502
152	0.3863947202
153	0.3856483535
154	0.3850616503
155	0.3840480076
156	0.383434647
157	0.3829170087
158	0.382173558
159	0.3811530359
160	0.3803462066
161	0.3799179302
162	0.379324537
163	0.378289911
164	0.3775380634
165	0.3769095768
166	0.3757173413
167	0.3753658886
168	0.374867531
169	0.3743999808
170	0.3735362561
171	0.3726617441
172	0.3718517572
173	0.3711272811
174	0.3700793192
175	0.3694983413
176	0.3689940264
177	0.3682883647
178	0.367553056
179	0.3667849913
180	0.3661146342
181	0.3655396368
182	0.3647669846
183	0.3639364245
184	0.3630011705
185	0.362716023
186	0.3620270819
187	0.3615045346
188	0.3606365495
189	0.3601043686
190	0.3594605891
191	0.3587314609
192	0.3583185402
193	0.3575568368
194	0.3568647745
195	0.3560932427
196	0.3556349364
197	0.3548848661
198	0.3541341175
199	0.3536670981
200	0.3532503323
201	0.3524524807
202	0.3520168061
203	0.3513764292
204	0.3507688311
205	0.3501232116
206	0.3496960339
207	0.3491379314
208	0.3485714441
209	0.3479701292
210	0.3472692389
211	0.3465590088
212	0.3459612124
213	0.345586091
214	0.3451403645
215	0.3444734572
216	0.3437926835
217	0.3433297262
218	0.3427967162
219	0.3422184384
220	0.3420049523
221	0.3415677418
222	0.3409199031
223	0.3404942471
224	0.3399246559
225	0.3395075064
226	0.3390160809
227	0.3386977154
228	0.33798875
229	0.3376413403
230	0.3374228163
231	0.336968815
232	0.336293494
233	0.3356991526
234	0.3351325102
235	0.3342605048
236	0.3337397768
237	0.3331880197
238	0.3327338965
239	0.3324405241
240	0.3318477682
241	0.3312600107
242	0.3306048354
243	0.330247927
244	0.3297640382
245	0.3293573415
246	0.3289564434
247	0.3282458242
248	0.3278328051
249	0.3276195586
250	0.3271982148
251	0.3268625266
252	0.3263263467
253	0.3258552999
254	0.3253384679
255	0.3248874913
256	0.3244740564
257	0.3241802058
258	0.3237486858
259	0.3231739889
260	0.3225394858
261	0.3221966606
262	0.3214640322
263	0.3209477165
264	0.3202092234
265	0.3194582619
266	0.3190625846
267	0.3186797614
268	0.3183221853
269	0.3178172637
270	0.3173996224
271	0.3168475578
272	0.3163321628
273	0.3159443645
274	0.3154325516
275	0.3149712173
276	0.3145536765
277	0.3138787588
278	0.3135027933
279	0.3133085544
280	0.3127172453
281	0.3124501744
282	0.3118296494
283	0.3113367684
284	0.3109743651
285	0.3105843616
286	0.3101940803
287	0.3100186527
288	0.3092630412
289	0.3085673442
290	0.3081485288
291	0.3076755816
292	0.3072241471
