wavenumber,absorbance
3855,0.00859790640394089
3853,0.008813054187192113
3851,0.008809852216748763
3849,0.008614039408866986
3847,0.008449876847290644
3845,0.008432142857142853
3843,0.008585837438423638
3841,0.008822290640394087
3839,0.00899285714285714
3837,0.00898682266009852
3835,0.008862684729064034
3833,0.008721551724137936
3831,0.008615270935960593
3829,0.008555418719211812
3827,0.00852364532019704
3825,0.008531896551724118
3823,0.008622290640394076
3821,0.008741871921182268
3819,0.008760221674876844
3817,0.008671059113300496
3815,0.008527832512315274
3813,0.00838251231527093
3811,0.008297413793103456
3809,0.008297413793103456
3807,0.008320812807881788
3805,0.008402463054187187
3803,0.008483004926108373
3801,0.008568472906403926
3799,0.008612931034482749
3797,0.008545689655172405
3795,0.008393596059113296
3793,0.008228201970443355
3791,0.008115763546798032
3789,0.008091625615763544
3787,0.00814211822660097
3785,0.008206034482758626
3783,0.008247660098522161
3781,0.00827118226600985
3779,0.008281773399014782
3777,0.008246551724137935
3775,0.008185591133004934
3773,0.008172660098522173
3771,0.008233743842364534
3769,0.008307635467980296
3767,0.008337315270935964
3765,0.008328571428571432
3763,0.008321921182265997
3761,0.00837339901477833
3759,0.008483866995073891
3757,0.00855948275862069
3755,0.008612438423645319
3753,0.008763177339901488
3751,0.009013916256157628
3749,0.009140394088669962
3747,0.009130541871921187
3745,0.009076108374384242
3743,0.008956403940886712
3741,0.008814901477832525
3739,0.00877721674876848
3737,0.008908743842364524
3735,0.00900751231527095
3733,0.00900751231527095
3731,0.00888103448275861
3729,0.008709975369458127
3727,0.008635221674876842
3725,0.008658497536945817
3723,0.00867980295566502
3721,0.008623152709359611
3719,0.00852204433497537
3717,0.00842943349753695
3715,0.0084082512315271
3713,0.008543349753694576
3711,0.00878091133004926
3709,0.008815024630541866
3707,0.008647290640394082
3705,0.008520935960591128
3703,0.008516133004926105
3701,0.008554064039408862
3699,0.008539039408867
3697,0.008508620689655173
3695,0.008542733990147778
3693,0.008693103448275858
3691,0.008947660098522167
3689,0.00912130541871922
3687,0.009080541871921172
3685,0.008989039408866983
3683,0.008976108374384246
3681,0.009077463054187189
3679,0.00932007389162562
3677,0.009683374384236453
3675,0.009966502463054194
3673,0.010104556650246305
3671,0.010226354679802969
3669,0.010267487684729083
3667,0.010194581280788175
3665,0.010161206896551726
3663,0.010259359605911348
