wavenumber,absorbance
3855,0.007853715898400747
3853,0.008077610536218251
3851,0.008280526810912514
3849,0.008256632173095023
3847,0.008142144873000938
3845,0.008039322671683904
3843,0.007967826904985884
3841,0.007963311382878644
3839,0.008063311382878646
3837,0.008187488240827842
3835,0.008226810912511755
3833,0.00818936970837251
3831,0.00813471307619943
3829,0.008081937911571033
3827,0.008021166509877706
3825,0.007963405456255868
3823,0.007956444026340537
3821,0.008000658513640633
3819,0.008031796801505174
3817,0.008059454374412033
3815,0.00807817497648165
3813,0.008020413922859829
3811,0.007917403574788323
3809,0.007917403574788323
3807,0.007854092191909677
3805,0.007842803386641577
3803,0.007829444967074313
3801,0.0078689557855127
3799,0.007975540921919098
3797,0.008052681091251183
3795,0.008056349952963306
3793,0.00800940733772342
3791,0.007937629350893692
3789,0.007888617121354665
3787,0.007885794920037627
3785,0.00790893697083725
3783,0.007913546566321733
3781,0.007901034807149569
3779,0.007914957666980244
3777,0.007936688617121355
3775,0.007904985888993417
3773,0.007847412982126056
3771,0.007821354656632164
3769,0.007859360301034807
3767,0.007925117591721556
3765,0.007955973659454368
3763,0.007944684854186269
3761,0.007945625587958596
3759,0.00799887111947319
3757,0.008025023518344311
3755,0.007968485418626525
3753,0.007927469426152403
3751,0.00802906867356538
3749,0.008146566321730941
3747,0.008193979303856999
3745,0.00825004703668861
3743,0.008250705550329255
3741,0.008134713076199446
3739,0.007992474129821252
3737,0.008011665098777042
3735,0.008202822201317038
3733,0.008202822201317038
3731,0.008288617121354673
3729,0.008225682031984951
3727,0.008145813734713066
3725,0.00815014111006586
3723,0.008232079021636883
3721,0.008303386641580446
3719,0.008298024459078084
3717,0.008208184383819386
3715,0.008078645343367828
3713,0.008007902163687668
3711,0.00812906867356538
3709,0.008326810912511765
3707,0.008375446848541869
3705,0.008327469426152404
3703,0.00831900282220133
3701,0.008393226716839144
3699,0.008459548447789266
3697,0.008452869238005646
3695,0.008397460018814687
3693,0.008369049858889935
3691,0.008472906867356536
3689,0.008728316086547503
3687,0.008910818438381957
3685,0.008954844778927553
3683,0.008949670743179684
3681,0.008943838193791132
3679,0.008984289746001885
3677,0.00917290686735654
3675,0.009438099717779867
3673,0.009646566321730946
3671,0.009911476952022566
3669,0.010196331138287862
3667,0.01035531514581375
3665,0.01045126999059266
3663,0.010577422389463782
3661,0.010746190028222014
3659,0.010984948259642514
3657,0.010984948259642514
3655,0.011252587017873952
3653,0.0114425211665099
3651,0.011657384760112886
3649,0.012228880526810914
3647,0.012961429915333968
3645,0.013310536218250228
3643,0.013474882408278455
3641,0.013676952022577602
3639,0.013960395108184365
3637,0.014272718720602089
3635,0.014569708372530568
3633,0.01482596425211665
3631,0.015178645343367828
3629,0.01583847601128881
3627,0.016518438381937898
3625,0.01684825964252115
3623,0.017041298212605825
3621,0.017385983066792097
3619,0.017942333019755376
3617,0.018455973659454426
3615,0.0188546566321731
3613,0.019250517403574745
3611,0.019703198494825946
3609,0.020227469426152358
3607,0.02072596425211664
3605,0.021113828786453456
3603,0.021491721542803394
3601,0.02197271872060207
3599,0.022494261523988722
3597,0.023019473189087498
3595,0.023543744120413906
3593,0.023976575729068656
